Subestacion,Longitud,Latitud
Arboleda,-63.631207,-17.426462
Arocagua,-66.114644,-17.380670
Bermejo,-64.309824,-22.708084
Brechas,-63.217503,-18.065086
Brechas 115,-63.217503,-18.065086
Bélgica,-63.282235,-17.575023
CM Karachipampa,-65.721977,-19.551923
Camiri,-63.518101,-19.978402
Caranavi,-67.560536,-15.844467
Carrasco,-64.526632,-17.211794
Carreras,-65.210823,-21.157970
Catavi,-66.576019,-18.410689
Catavi 115,-66.576019,-18.410689
Chilcobija,-66.096172,-21.412807
Chimore,-65.161183,-16.999041
Choquetanga,-67.311196,-16.854200
Chuspipata,-67.835070,-16.286168
Contorno Bajo,-68.360651,-16.645960
Cumbre,-68.118241,-16.399977
Ecebol - Potosí,-65.707567,-19.482217
Guaracachi,-63.152761,-17.786739
Guarayos,-63.157319,-15.937642
Irpa Irpa,-66.293065,-17.731747
Jeruyo,-67.276393,-17.396452
Kenko,-68.181803,-16.566013
LAS LOMAS,-63.542307,-17.389719
La Plata,-65.685958,-19.520444
Litio 115 KV,-67.156540,-21.133714
Los Troncos 115,-62.640538,-17.061457
Lucianita,-66.833014,-18.276347
Ocuri,-65.837846,-18.878761
Pagador,-67.109494,-17.811678
Palca,-67.922662,-16.573964
Paracaya,-65.850636,-17.507732
Paraiso,-64.795716,-14.835941
Potosí 115,-65.800583,-19.607583
Punutuma,-66.139787,-20.050171
Qollpana,-65.285788,-17.627771
SAN CRISTOBAL,-67.210599,-21.127042
San Borja,-66.770091,-14.905291
San Ignacio de Moxos,-65.630591,-15.000662
San José,-65.750459,-17.178247
San Julián,-62.853494,-17.822456
Santivañez,-66.219553,-17.571814
Sucre 115,-65.218472,-19.000886
Tarija,-64.727931,-21.486063
Telamayu,-66.224262,-20.944128
Torre Huayco,-65.754690,-21.426349
Trinidad,-64.892943,-14.853281
Urubó,-63.236003,-17.742456
Urubó 115,-63.236003,-17.742456
Uyuni,-66.803104,-20.563889
Valle Hermoso,-66.116415,-17.427831
Villa Tunari,-65.442466,-17.009933
Villamontes,-63.480207,-21.318812
Vinto,-67.044704,-17.969523
Vinto 115,-67.044704,-17.969523
Warnes,-63.146556,-17.534503
Yacuiba,-63.652109,-21.977248
Yapacani,-63.893204,-17.393709
Yucumo,-67.022291,-15.143200
